,AdditionalRooms,Age,Lift Available,Car Parking,Power Backup,Indoor Games,Intercom,Landscaped Gardens,Gas connection,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Childrens play area,Maintenance Staff,Staff Quarter,Shopping Mall,School,Hospital,ATM,Refrigerator,Sports Facility,Multipurpose Room,Wardrobe,Cafeteria,Golf Course,TV,Sofa,Microwave,BED,Wifi,AC,Dining Table,Washing Machine,Area,Balconies,Bathroom,Count Rooms,Room Type,Property Type,Carpetarea,Facing,Floor,Locality,New Or Old,Opensides,Overlooking,Ownership,PossesionDate,Month Of Date,Price,PriceperSquare,ProjectName,RoadFacing,Status,furnished,Totalfloor
28961,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428 ,,1,,BHK,Apartment,,East,2,hadapsar,new,,,freehold,,,2000000, 4672  ,,,ready to move,not available,
28962,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650 ,,1,,BHK,Apartment,,East,3,handewadi,resale,,,freehold,,,2800000, 4307  ,,,ready to move,unfurnished,
28963,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692 ,,1,,BHK,Apartment,,East,4,hadapsar,resale,,,freehold,,,4000000, 5780  ,,,ready to move,unfurnished,
28964,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580 ,,1,,BHK,Apartment,,East,3,sasane nagar,resale,,,freehold,,,3200000, 5517  ,,,ready to move,unfurnished,
28965,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623 ,,1,,BHK,Apartment,,East,2,hadapsar,resale,,,freehold,,,2500000, 4012  ,,,ready to move,unfurnished,
28966,,3.5,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,934 ,,2,,BHK,Apartment,,East,1,hadapsar,resale,,,freehold,,,4400000, 4710  ,satyam oak vista,,ready to move,unfurnished,
28967,,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100 ,,2,,BHK,Apartment,,East,2,hadapsar,resale,,,freehold,,,7000000, 6363  ,builder nirmal serene,,ready to move,unfurnished,
28968,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2300 ,,,0,,Residential Plot,,West,nan,pirangut,resale,2,available,cooperative society,,,5300000, 2304  ,,,,,
28969,2,4.5,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,1.0,,,,,1100 ,2,2,,BHK,Apartment,825 ,East,1 ,manjari,resale,1,available,freehold,,,6200000, 5636  ,bk jhala and associates tranquility phase i,20 ,ready to move,semifurnished,4
28970,,0.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1315 ,,2,,BHK,Apartment,,North,3 ,kharadi,resale,,,,,,9000000, 6844  ,vascon forest county,,ready to move,unfurnished,12
28971,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,990 ,,2,,BHK,Apartment,,,nan,bavdhan,new,,,,,,5500000, 5555  ,dreams belle vue,,ready to move,not available,
28972,1,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914 ,1,1,,BHK,Apartment,640 ,East,9 ,mundhwa,new,1,available,freehold,19,dec,6000000, 6564  ,godrej infinity,50 ,under construction,not available,25
28973,2,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1655 ,3,3,,BHK,Apartment,1158 ,East,6 ,kharadi,new,2,available,freehold,18,aug,11800000, 7129  ,kolte patil cheryl,50 ,under construction,not available,12
28974,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914 ,2,2,,BHK,Apartment,670 ,East,8 ,kharadi,new,1,available,freehold,18,sep,6000000, 6564  ,gaurdian eastern meadows,50 ,under construction,not available,12
28975,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1326 ,3,3,,BHK,Apartment,929 ,East,7 ,kharadi,new,2,,,18,sep,8500000, 6410  ,gaurdian eastern meadows,50 ,under construction,not available,12
